Iteracion,Method1 (milisegundos),Method2 (milisegundos),Method3 (milisegundos)
1,20.3163,39.7443,63.3198
2,43.4375,24.9342,15.1684
3,15.4322,59.2555,75.128
4,120.553,98.0731,38.9399
5,47.6055,61.2453,27.3328
6,56.8023,17.795,37.2642
7,54.747,80.7866,30.8944
8,12.3271,17.9751,13.6967
9,15.2677,16.0804,15.177
10,20.7765,29.8257,12.7728
11,32.1903,15.8635,15.5702
12,16.1379,16.0742,15.7551
13,15.0893,15.8647,15.181
14,16.3035,15.773,16.2795
15,15.1214,15.328,17.042
16,15.8989,15.5744,16.5925
17,16.7194,15.3453,33.4016
18,16.7241,16.7754,16.0865
19,15.2818,25.3714,21.7277
20,15.3927,15.8397,15.1393
21,16.4217,15.9264,27.1484
22,47.4475,19.2463,15.4952
23,15.834,15.9994,15.2359
24,15.5459,15.2522,16.6658
25,15.5132,15.5842,16.3761
26,19.9251,26.222,31.5112
27,20.193,27.0468,17.6517
28,13.6921,15.7403,15.9579
29,17.4481,15.3236,15.6931
30,16.0372,15.6877,15.6635
31,17.0648,15.4673,16.6887
32,15.8966,16.3628,16.2018
33,15.4022,17.0298,17.5435
34,14.4357,15.2039,16.0816
35,15.3598,15.633,15.6654
36,15.5162,15.1093,15.9865
37,15.3402,15.9814,16.1371
38,24.6408,25.1454,15.2992
39,15.4843,16.1151,16.0312
40,16.1292,15.1779,16.0865
41,16.4304,21.2067,11.1841
42,16.3353,16.1164,16.4541
43,28.4729,88.8516,208.833
44,101.992,66.1498,77.4428
45,26.8207,27.5983,21.5571
46,29.0614,19.6938,13.9436
47,25.8948,24.7708,15.0644
48,11.8558,16.3147,16.1357
49,14.7863,31.1887,22.7104
50,11.4295,15.4324,18.2544
51,16.0282,15.4445,15.6522
52,15.4693,15.9957,15.2336
53,16.7445,15.3772,14.9845
54,17.0365,15.5471,15.8555
55,15.4615,16.7419,14.1595
56,15.7151,14.5102,17.8462
57,16.1922,16.2878,22.9758
58,23.6667,15.9159,16.4648
59,15.2809,20.8445,10.0536
60,16.0141,32.2804,20.4613
61,10.8678,60.9191,164.638
62,101.007,73.9909,53.2469
63,118.755,18.0436,16.0973
64,15.3295,15.0758,15.1973
65,15.1422,16.0551,17.2505
66,15.9455,15.2078,29.7618
67,17.1382,15.6551,8.3846
68,15.9124,16.045,19.6853
69,15.4567,15.5756,14.5376
70,13.3859,21.1714,15.4687
71,11.2567,15.5074,18.912
72,15.0942,17.1359,15.3166
73,20.1272,15.0305,26.8619
74,21.1125,15.5078,25.7956
75,15.9689,16.4591,16.0828
76,29.4158,15.991,15.613
77,17.945,17.203,25.8719
78,19.0276,15.1109,29.8736
79,15.5499,18.7825,15.2148
80,28.0154,15.7214,15.5218
81,18.9257,15.1746,15.6384
82,28.8599,16.4436,15.581
83,19.1786,17.5378,15.2389
84,26.0915,16.2367,19.1865
85,19.5516,38.5078,19.4958
86,15.6995,15.1231,12.6663
87,14.7268,15.0924,15.5427
88,16.1507,15.6935,15.65
89,15.9444,17.8609,15.5885
90,16.2144,27.5279,14.573
91,16.3701,15.3217,15.1031
92,15.9827,32.2146,16.3991
93,16.5887,15.7566,17.2437
94,14.6291,15.634,28.3754
95,25.7833,21.8542,15.3062
96,15.1579,16.1257,16.1927
97,15.1496,15.5475,20.5252
98,25.4014,16.3726,15.8156
99,11.4946,15.1399,18.4186
100,21.4922,42.2959,16.5007
